time,accel1_x,accel1_y,accel1_z,accel2_x,accel2_y,accel2_z,accel3_x,accel3_y,accel3_z,accel4_x,accel4_y,accel4_z
560,36,-28,36,50,28,2780,50,56,-106,50,56,-106
580,-70,-42,68,-58,-86,1340,62,-50,68,62,-50,68
590,124,-48,-36,56,-76,1820,84,10,42,84,10,42
601,-12,2,-100,38,80,1350,-56,-114,-12,-56,-114,-12
610,-92,92,30,76,-110,780,52,86,-110,52,86,-110
620,12,108,2,66,112,110,-96,-124,112,-96,-124,112
630,-20,-72,-94,70,-102,80,-40,-38,-76,-40,-38,-76
641,-32,-84,-10,-106,28,3040,-4,-98,-12,-4,-98,-12
650,102,-92,-40,-70,104,2830,-76,-56,76,-76,-56,76
660,-10,-78,-10,-92,114,3830,44,-50,-108,44,-50,-108
670,36,108,-10,16,-40,2610,24,86,-48,24,86,-48
680,66,18,-94,-70,-34,2000,120,-114,-78,120,-114,-78
690,20,-82,12,-2,90,2300,-56,96,-44,-56,96,-44
700,-102,44,-2,-12,-124,1610,86,122,90,86,122,90
710,-62,54,-70,90,-10,2290,-40,-64,-4,-40,-64,-4
720,74,-12,124,92,100,2260,-96,-54,-124,-96,-54,-124
730,-108,-118,-6,-30,100,1890,-76,96,100,-76,96,100
740,-14,-78,30,96,18,2920,60,76,114,60,76,114
750,108,-38,50,-124,100,2730,-20,-114,-56,-20,-114,-56
760,110,-52,110,82,-20,1940,-34,-50,2,-34,-50,2
771,-102,-72,108,52,-86,1540,-26,126,38,-26,126,38
780,40,62,10,38,26,1140,-22,-50,-14,-22,-50,-14
790,24,8,-126,-118,-98,90,34,-44,54,34,-44,54
800,82,-46,-78,-74,102,410,116,-2,24,116,-2,24
811,34,58,-120,-22,-88,810,0,12,-102,0,12,-102
820,46,-50,-88,-112,-70,3500,-10,-84,-42,-10,-84,-42
830,-20,20,-44,108,-108,1520,116,-48,-128,116,-48,-128
840,96,108,68,106,18,3790,106,98,46,106,98,46
850,-68,-64,-10,82,14,3320,-40,-94,32,-40,-94,32
860,62,-62,78,-88,-104,1690,20,-8,92,20,-8,92
870,98,-26,8,86,-76,2500,30,6,-50,30,6,-50
880,10,18,-90,36,-20,2210,56,122,-20,56,122,-20
890,12,78,-70,-58,-86,2720,56,122,-20,40,-74,-90
