time,accel1_x,accel1_y,accel1_z,aT
0.004,-0.5076,-0.2454,-0.249,0.616
0.006,-0.1173,0.2752,1.3013,1.335
0.008,0.0114,-0.6306,0.346,0.719
0.019,-0.4323,-0.7868,-0.3854,0.977
0.034,-0.6198,-0.4897,0.03,0.79
0.035,-0.5081,0.1925,-0.2141,0.584
0.053,0.5671,1.0772,-0.0153,1.217
0.071,-0.1315,-0.307,-0.0057,0.334
0.071,-0.1287,-0.4138,0.7425,0.86
0.072,-0.1306,-0.1256,0.1763,0.253
0.087,0.0803,0.6522,-0.4665,0.806
0.107,0.6027,0.7466,0.0124,0.96
0.109,0.3332,0.3649,-0.1815,0.526
0.121,0.3141,-0.4894,0.3608,0.684
0.123,-0.1952,-0.8518,0.1476,0.886
0.137,-0.5187,0.5486,0.0913,0.76
0.154,0.061,0.8596,0.4182,0.958
0.157,-0.4509,-0.1601,-0.4413,0.651
0.171,0.1772,-1.0941,1.1246,1.579
0.173,-0.5935,-0.7919,-1.4983,1.796
0.189,0.1053,0.7293,0.2375,0.774
0.204,0.3741,0.8752,-0.3814,1.025
0.207,0.5973,0.6869,0.5596,1.068
0.221,0.2272,-0.273,0.6015,0.699
0.222,0.0935,0.1907,-0.6112,0.647
0.238,0.2065,0.7678,0.3512,0.869
0.256,0.4977,0.8552,0.5907,1.152
0.257,0.6591,0.1742,0.4231,0.802
0.271,-0.3212,-0.6711,-0.306,0.805
0.273,-0.2826,-0.1678,-0.5874,0.673
0.289,-0.1079,0.1039,1.1233,1.133
0.309,-0.202,0.5038,-0.5754,0.791
0.312,-0.1877,-0.1201,-0.8052,0.835
0.314,-0.2173,-0.6856,-0.5203,0.888
0.322,0.5197,-0.5512,0.429,0.871
0.332,-0.429,0.4991,0.8169,1.049
0.341,0.2238,1.0116,0.4697,1.138
0.352,0.5579,0.4373,0.0329,0.71
0.361,0.0248,-0.6753,-0.3837,0.777
0.387,0.7533,-0.4721,-0.1287,0.898
0.389,0.122,0.4418,0.7295,0.862
0.392,0.5514,0.9236,-0.3503,1.131
0.401,0.3338,0.5943,-0.3048,0.747
0.412,0.1351,-0.4482,-0.6448,0.797
0.423,0.0809,-0.4723,-0.0367,0.481
0.432,0.2607,0.4175,-0.8831,1.011
0.442,0.4539,0.8903,0.1177,1.006
0.452,0.314,-0.5252,-0.1768,0.637
0.461,-0.6569,-0.7974,-0.1002,1.038
0.475,-0.6264,-0.5092,-0.4618,0.938
0.976,0.2176,-0.0256,-1.6699,1.684
1,-0.312,0.6294,-0.2872,0.759
1,-0.2292,0.9949,-0.286,1.06
1.001,0.6495,0.452,-0.4499,0.91
1.012,0.1705,-0.027,0.807,0.825
1.021,0.1831,0.402,-1.5166,1.58
1.031,-0.4553,0.2817,-0.6773,0.863
1.041,0.035,0.5728,-0.718,0.919
1.053,0.1613,-0.5409,-0.0547,0.567
1.061,-0.5283,-0.8056,-0.9417,1.347
1.075,-0.0923,-0.0408,-1.2961,1.3
1.081,-0.2791,0.4859,-0.6281,0.842
1.106,0.188,0.8034,-0.0163,0.825
1.11,0.3941,-0.533,-0.2557,0.71
1.114,-0.1563,-0.6437,-0.8362,1.067
1.125,-0.1382,-0.4162,-0.0797,0.446
1.132,0.5291,0.9093,0.9953,1.448
1.143,0.3593,0.9742,-0.2293,1.063
1.152,0.5938,-0.193,0.2986,0.692
1.162,1.0229,-0.4967,0.1466,1.147
1.18,0.0635,-0.3367,0.4074,0.532
1.183,-0.2966,0.6493,-1.5595,1.715
1.211,-0.281,0.4248,-0.4067,0.652
1.214,-0.056,0.562,-0.579,0.809
1.215,-0.4293,-0.4419,-1.168,1.32
1.224,-0.1658,-1.0276,1.0886,1.506
1.233,0.0209,0.2977,-1.3679,1.4
1.241,-0.0667,0.2422,0.9233,0.957
1.252,0.3423,0.1555,-1.1691,1.228
1.262,0.2009,-0.7119,0.6301,0.972
1.28,-0.1205,-0.24,-0.0762,0.279
1.284,0.162,0.5812,-0.7442,0.958
1.306,0.7159,0.6793,-0.0906,0.991
1.308,0.3665,-0.3876,-0.2558,0.592
1.312,-0.2106,-0.748,-0.8903,1.182
1.323,-0.5086,-0.2406,-0.5611,0.795
1.331,0.601,0.4122,0.4085,0.835
1.344,0.1775,0.9761,-0.2009,1.012
1.352,0.2829,-0.1986,0.1415,0.373
1.362,-0.353,-0.6107,-0.6139,0.935
1.389,0.2291,-0.475,0.1643,0.552
1.392,0.7974,0.7993,1.8186,2.141
1.413,0.0595,0.953,0.1055,0.961
1.414,-0.1653,-0.3594,-0.396,0.56
1.415,-1.1868,-0.9417,-0.5887,1.625
1.423,-0.363,-0.8151,-0.5133,1.029
1.432,0.3211,-0.3345,2.0533,2.105
1.442,0.3196,-0.3301,2.0532,2.104
1.452,0.3856,-0.0526,0.8309,0.918
1.974,-0.4339,-0.8291,-0.5515,1.086
1.975,0.295,-0.5887,0.5474,0.856
1.988,-0.1694,-0.2195,-0.8903,0.933
1.994,0.3676,-0.0667,-0.7742,0.86
2.001,0.4377,0.5345,-0.4367,0.817
2.042,-0.1635,-0.4347,0.989,1.093
2.043,0.6628,-0.1235,-0.3613,0.765
2.043,-0.0055,0.7494,0.2994,0.807
2.044,0.068,0.6405,0.0276,0.645
2.058,0.3079,0.1373,-0.4548,0.566
2.062,0.6429,-0.369,-0.2369,0.778
2.079,0.0984,-0.1574,0.783,0.805
2.083,0.7674,1.2334,0.3364,1.491
2.101,0.359,1.1865,0.2776,1.27
2.104,0.6883,0.7153,-0.5436,1.132
2.135,0.1899,-0.4381,-0.1664,0.506
2.139,-0.3411,-0.2466,-1.0679,1.148
2.141,0.0883,0.4609,-0.1796,0.503
2.143,0.4801,0.6988,-0.3112,0.903
2.153,0.1446,-0.338,-0.5171,0.634
2.161,-0.379,-0.7732,-0.4021,0.95
2.172,-0.5343,-0.5026,-0.6571,0.985
2.181,0.7023,0.2942,0.1737,0.781
2.207,-0.043,0.2427,0.3712,0.446
2.209,0.0599,-0.2283,0.455,0.513
2.212,-0.0897,-0.7047,-0.1926,0.736
2.221,-0.1996,-0.3041,1.7215,1.759
2.232,0.6848,0.315,0.492,0.9
2.244,-0.057,-0.2081,-0.6871,0.72
2.251,-0.0856,-0.0032,-0.1975,0.215
2.261,-0.3112,-0.1631,-0.984,1.045
2.282,0.477,0.2773,-0.5375,0.77
2.284,0.4886,0.7731,1.6196,1.86
2.311,0.3999,0.7813,-1.3755,1.632
2.312,-0.0749,-0.0392,0,0.085
2.312,-0.4576,-0.7783,-0.8044,1.209
2.32,-0.0913,0.1804,-0.2609,0.33
2.332,0.2239,0.5545,-0.0574,0.601
2.341,0.3508,0.6806,0.528,0.93
2.351,0.6742,0.2978,-0.1208,0.747
2.361,-0.6207,-0.9591,0.2768,1.175
2.376,-0.5149,-0.7129,-0.159,0.894
2.384,0.2297,0.0179,-0.3661,0.433
2.419,0.2224,0.627,-0.1818,0.69
2.421,0.2961,0.2446,0.1019,0.397
2.422,-1.4027,-0.8495,-0.8509,1.847
2.423,-0.8669,-0.4578,-0.6067,1.153
2.441,0.4415,-0.222,1.0644,1.174
2.442,0.623,0.5376,1.36,1.59
2.452,0.2468,0.3631,-0.6403,0.776
2.461,-0.6957,-0.9968,-0.4656,1.302
2.471,-1.1223,-0.3461,-0.5626,1.302
2.487,-0.0967,0.3263,-0.0107,0.34
2.51,0.5611,0.7765,1.2319,1.561
2.511,0.1777,-0.2352,-0.7936,0.847
2.513,-0.6384,-1.2812,-0.0969,1.435
2.521,-0.5366,-0.5138,-0.7781,1.076
2.531,-0.0276,0.0791,0.146,0.168
2.542,0.0185,0.1831,0.0933,0.206
2.551,-0.5042,-0.6053,-0.8344,1.148
2.562,-0.8303,-0.9126,-0.6417,1.391
2.572,-0.7691,-0.9327,-0.0312,1.209
2.583,0.102,0.329,0.0346,0.346
2.621,0.6127,1.0862,0.1711,1.259
2.622,0.8052,0.4598,-0.036,0.928
2.623,0.0783,-0.0829,0.4536,0.468
2.624,-0.2142,0.1096,-1.3385,1.36
2.632,-0.6103,-0.0452,-0.5089,0.796
2.644,1.2194,0.5183,0.3112,1.361
2.652,0.0829,-0.177,0.0681,0.207
2.662,-0.5033,0.0423,-1.196,1.298
2.677,-0.8422,-0.3474,-0.8668,1.258
2.685,-0.971,0.0368,-0.0144,0.972
2.714,-0.0008,0.2634,0.1269,0.292
2.715,-0.0274,-0.5808,1.8963,1.983
2.716,-0.2579,-0.4404,-1.9883,2.053
