time,accel1_x,accel1_y,accel1_z,accel2_x,accel2_y,accel2_z
90810,64.0,76.0,-444.0,64.0,76.0,-444.0
90820,74.0,-372.0,-488.0,74.0,-372.0,-488.0
90830,140.0,-512.0,-512.0,70.0,-512.0,-504.0
90840,-108.0,-479.0,-507.0,-108.0,-479.0,-507.0
90850,-220.0,-510.0,-504.0,-256.0,-512.0,-256.0
90860,-215.0,-379.5,-398.0,-251.5,-409.5,-401.0
90870,-127.0,-176.5,-275.0,1.0,-117.0,-379.0
90880,-240.0,288.0,-432.0,-240.0,288.0,-432.0
90890,-184.0,105.0,-379.0,-184.0,105.0,-379.0
90900,93.0,482.0,-384.0,24.0,450.0,-416.0
90910,13.5,294.5,-328.0,5.5,294.5,-240.0
90920,17.0,178.0,-256.0,17.0,178.0,-256.0
90930,24.0,272.0,-238.0,48.0,1.0,-456.0
90940,-39.5,3.0,-450.5,-39.5,3.0,-450.5
90950,68.0,64.0,-222.0,68.0,64.0,-222.0
90960,68.0,64.0,-222.0,-192.0,132.0,-208.0
90970,41.0,271.0,-375.5,41.0,271.0,-375.5
90980,77.5,263.0,-347.5,70.5,102.0,-343.5
90990,64.0,156.0,-256.0,64.0,156.0,-256.0
91000,4.0,19.0,-255.0,8.0,34.0,-256.0
91010,10.0,128.0,-248.0,10.0,128.0,-248.0
91020,46.0,129.5,-371.5,10.0,133.5,-503.5
91030,16.0,18.0,-495.0,16.0,18.0,-495.0
91040,33.0,488.0,-285.0,33.0,488.0,-285.0
91050,0.0,40.0,-488.0,0.0,40.0,-488.0
91060,-63.0,9.0,-374.0,-127.0,10.0,-256.0
91070,64.0,325.0,-256.0,64.0,325.0,-256.0
91080,77.0,268.0,-252.0,77.0,268.0,-252.0
91090,32.0,32.0,-253.0,-96.0,98.0,-189.0
91100,-110.0,465.5,-236.0,2.0,473.0,-234.0
91110,129.0,501.0,-174.0,129.0,501.0,-174.0
91120,74.5,254.5,-215.0,50.0,75.0,-231.0
91130,40.0,-128.0,-159.0,40.0,-128.0,-159.0
91140,130.0,0.0,-191.0,65.0,-111.0,-215.0
91150,8.0,-254.0,-512.0,8.0,-254.0,-512.0
91160,396.0,486.0,-264.0,396.0,486.0,-264.0
91170,8.0,-509.0,-304.0,8.0,-509.0,-304.0
91180,26.0,71.0,-332.0,26.0,71.0,-332.0
91190,-230.0,-474.0,-488.0,-230.0,-474.0,-488.0
91200,9.0,-236.0,-470.0,9.0,-236.0,-470.0
91210,64.0,-93.5,-351.5,32.5,-61.0,-351.5
91220,1.0,118.0,-215.0,1.0,118.0,-215.0
