time,strain1,strain2,strain3,strain4
795,126,108,107,172
996,130,111,74,175
1199,126,112,0,0
1403,128,109,94,171
1605,128,108,107,172
1805,130,111,99,175
2007,128,108,107,172
2207,130,111,0,169
2408,128,108,107,172
2610,131,111,99,175
2812,131,111,69,173
3014,130,111,0,167
3216,129,108,107,171
3417,129,108,107,171
3619,129,108,107,171
3821,129,108,107,170
4022,129,108,107,170
4225,129,108,107,170
4426,129,108,107,170
4626,128,112,0,0
4827,129,108,107,169
5028,129,108,107,170
5230,130,108,107,169
5430,130,112,0,160
5630,130,108,107,169
5828,130,108,107,169
6034,131,111,0,166
6234,131,111,0,162
6437,130,108,107,168
6638,130,108,107,169
6840,131,111,0,164
7046,132,111,89,170
7246,130,108,107,168
7449,131,111,0,162
7652,130,108,107,168
7854,131,111,0,163
8055,130,108,107,168
8258,129,112,0,148
8458,132,111,15,166
8660,130,112,0,156
8863,130,108,107,167
9064,128,112,0,0
9267,130,108,107,166
9463,128,112,0,0
9669,130,108,107,166
9867,130,108,107,166
10067,130,108,107,166
10269,130,112,0,157
10465,129,112,0,0
10670,132,111,97,168
10865,130,108,107,165
11070,129,112,0,0
11272,130,108,107,165
11474,130,108,107,165
11676,132,111,27,165
11876,131,112,0,157
12079,131,111,0,158
12282,131,111,0,159
12481,132,111,89,166
12681,128,112,0,0
12882,132,111,90,166
13086,130,108,107,164
13288,132,111,99,167
13489,130,108,107,164
13691,130,111,6,160
13895,129,108,107,163
14095,132,111,100,166
14295,132,111,78,165
14498,129,108,107,163
14699,128,112,0,0
14901,129,108,107,162
15101,131,111,0,160
15307,129,108,107,162
15508,129,108,107,162
15713,131,111,98,165
15912,131,111,69,163
16116,129,108,107,162
16315,127,112,0,0
16516,130,112,0,155
16717,129,108,107,161
16917,129,108,107,162
17117,129,108,107,162
17320,132,111,99,164
17523,131,111,16,160
17721,129,108,107,161
17924,129,108,107,161
18124,128,112,0,0
18324,130,112,0,156
18526,128,112,0,20
18727,129,108,107,160
18928,129,108,107,160
19130,131,111,100,163
19331,129,108,107,160
19533,129,108,107,160
19735,129,108,108,160
19937,130,111,24,159
20140,129,108,107,160
20342,130,111,0,157
20541,127,112,0,0
20745,131,111,99,162
20946,130,112,1,156
21149,128,108,108,159
21350,128,108,108,159
21552,128,108,108,159
21754,128,108,108,159
21956,127,112,0,0
22156,128,108,108,158
22359,129,112,0,154
22561,128,108,107,158
22763,128,112,0,148
22966,128,108,108,158
23165,130,112,54,158
23366,127,108,108,158
23568,128,109,53,154
23769,127,108,108,157
23971,130,111,94,159
24172,127,108,108,157
24373,127,108,108,157
24576,127,108,108,157
24778,127,108,108,157
24978,127,108,108,157
25180,128,112,0,151
25381,125,112,0,0
25583,130,111,100,159
25783,129,112,44,156
25986,127,108,108,156
26188,126,112,0,0
26390,127,112,0,148
26590,128,109,107,155
26790,127,108,108,155
26991,129,111,100,158
27197,129,111,99,157
27398,126,108,108,155
27599,127,112,0,145
27801,126,108,108,154
28004,127,112,0,148
28207,126,108,108,154
28409,126,112,0,0
28609,128,112,66,155
28810,129,111,100,157
29010,126,108,108,154
29212,126,108,108,154
29411,126,108,108,154
29614,126,108,108,153
29815,126,108,108,153
30012,126,108,108,153
30217,127,112,0,146
30417,127,112,0,147
30620,126,109,108,153
30821,125,112,0,129
31022,126,108,108,153
31224,125,112,0,0
31424,126,108,108,152
31626,128,112,85,154
31827,125,108,108,152
32028,124,112,0,0
32227,125,108,108,152
32430,127,112,3,149
32630,125,109,108,152
32832,126,112,0,147
33033,126,110,100,154
33234,127,112,87,153
33437,125,109,108,151
33638,127,112,99,153
33839,125,109,56,148
34039,125,110,85,149
34241,125,112,7,143
34443,125,109,108,150
34642,124,109,108,150
34846,127,112,18,149
35046,124,109,108,150
35248,126,112,0,144
35451,124,109,108,150
35653,126,112,0,145
35855,127,112,98,152
36056,124,109,108,149
36256,124,109,108,149
36457,127,112,101,152
36669,124,109,108,149
36872,123,112,0,0
37073,124,109,108,148
37274,124,109,108,149
37475,124,112,0,137
37676,123,112,0,0
37877,123,113,0,0
38080,124,109,108,148
38282,124,109,108,148
38483,126,112,101,151
38683,125,112,0,144
38885,124,109,108,148
39086,124,109,108,148
39288,122,113,0,0
39486,126,112,98,150
39686,124,109,108,147
39887,124,109,109,147
40089,126,112,82,148
40290,124,109,109,147
40489,124,109,109,147
40693,123,109,108,147
40893,123,109,109,146
41092,124,112,0,141
41294,123,109,109,146
41495,122,112,0,0
41698,123,109,109,146
41901,123,109,109,146
42101,126,112,101,149
42301,122,112,0,124
42501,123,109,109,145
42702,121,112,0,0
42904,123,109,109,145
43107,125,112,97,147
43307,122,109,109,145
43508,122,109,109,145
43708,123,112,0,137
43908,124,112,11,143
44111,122,109,109,144
44312,125,112,102,147
44513,122,109,109,144
44709,124,112,86,146
44915,122,109,109,144
45118,122,109,109,144
45320,122,109,109,144
45522,122,109,109,144
45721,121,109,72,134
45923,122,109,109,143
46126,122,109,109,143
46327,123,112,41,143
46529,122,112,0,135
46731,121,109,109,143
46934,121,112,0,0
47137,123,112,0,138
47336,120,113,0,54
47542,121,109,109,142
47741,121,109,109,142
47943,121,109,109,142
48144,121,109,109,142
48344,123,112,52,142
48544,121,109,109,142
48745,123,112,64,142
48947,121,109,109,141
49148,123,112,21,140
49349,121,109,109,141
49550,123,112,100,144
49755,121,109,109,141
49957,121,109,109,141
50159,122,112,0,136
50358,123,112,101,143
50558,121,109,109,140
50762,121,109,109,140
50964,121,109,109,140
51166,122,112,0,136
51366,121,109,109,140
51566,121,112,0,130
51768,121,109,109,140
51969,121,109,109,140
52170,122,112,14,138
52370,122,112,0,133
52570,120,109,109,139
52772,123,112,99,141
52973,120,109,109,139
53175,120,109,109,139
53379,123,112,82,140
53579,120,109,109,139
53781,120,109,109,139
53983,121,112,0,133
54185,120,109,109,138
54388,123,112,102,141
54590,121,110,108,139
54792,120,109,109,138
54993,120,109,109,138
55197,121,112,0,130
55400,120,109,109,138
55601,118,113,0,0
55798,120,109,109,138
56003,122,112,101,140
56206,122,111,107,138
56406,120,113,0,128
56608,118,113,0,0
56808,120,109,109,137
57010,119,109,109,137
57213,119,109,109,137
57416,119,109,109,137
57615,122,112,101,139
57818,122,112,74,137
58021,119,109,109,136
58219,119,109,109,136
58422,119,109,109,136
58622,121,112,100,138
58826,119,109,109,136
59026,119,109,109,136
59228,120,112,0,130
59429,119,109,109,136
59631,119,113,0,124
59831,119,109,109,135
60030,119,109,109,135
60234,121,112,103,139
60433,121,112,102,138
60638,118,109,109,135
60839,117,113,0,0
61043,118,109,109,135
61245,120,112,99,137
61447,118,109,106,137
61649,118,109,109,135
61853,118,109,109,134
62054,120,112,103,138
62255,118,109,109,134
62457,120,112,101,138
62659,117,111,30,132
62862,118,109,109,134
63063,117,112,0,125
63265,117,109,109,134
63466,117,109,109,133
63668,117,109,109,134
63872,119,113,39,131
64071,119,113,98,132
64275,118,109,109,134
64478,118,109,109,134
64678,118,110,110,134
64880,120,114,102,136
65080,118,110,110,134
65281,118,112,105,137
65483,118,114,101,134
65682,115,115,7,126
65882,118,110,110,134
66083,118,114,103,136
66283,116,111,104,133
66486,118,110,110,133
66689,118,110,110,133
66887,117,110,110,133
67088,112,115,0,0
67290,117,110,110,133
67492,117,110,110,133
67697,119,113,104,135
67899,117,110,110,132
68100,117,110,110,132
68304,117,110,109,134
68506,117,110,109,132
68707,117,110,109,132
68909,117,113,104,135
69108,117,110,109,131
69310,117,110,109,131
69514,117,110,109,131
69715,117,110,109,131
69916,116,114,101,130
70118,118,113,103,136
70319,117,110,109,130
70521,115,114,100,130
70721,117,114,102,135
70921,116,110,109,130
71121,114,112,105,129
71323,116,110,109,130
71521,116,110,109,130
71726,117,113,102,134
71926,116,110,109,130
72125,116,110,109,130
72329,116,110,109,129
72532,115,114,98,129
72735,116,110,108,129
72936,116,110,109,129
73137,116,110,108,129
73336,116,110,109,129
73538,116,114,102,132
73741,116,110,108,129
73942,116,110,109,129
74144,115,110,108,129
74345,115,110,108,128
74548,115,109,108,129
74747,115,109,108,128
74951,117,113,103,132
75153,115,113,100,129
75354,115,109,108,128
75557,115,113,101,126
75758,112,114,97,117
75958,114,113,100,128
76158,115,109,108,127
76359,114,109,108,127
76561,114,113,100,128
76763,116,113,102,130
76966,114,109,108,126
77169,114,109,108,127
77374,111,113,0,118
77577,114,113,101,128
77778,112,114,16,117
77981,114,113,100,128
78183,114,110,50,116
78385,114,109,108,126
78587,108,113,0,0
78788,113,109,108,126
78993,112,113,99,127
79193,113,109,108,126
79394,111,113,96,122
79596,113,109,107,125
79798,113,109,107,125
79998,113,113,101,127
80200,110,114,61,0
80402,112,110,106,124
80607,111,113,84,118
80808,114,112,101,128
81012,111,112,98,122
81214,113,109,107,124
81413,113,109,107,124
81616,114,112,102,128
81818,108,113,0,0
82019,113,108,107,124
82220,114,112,101,126
82420,113,109,107,124
82622,112,109,107,123
82825,112,109,107,124
83027,107,113,94,109
83230,112,109,107,124
83432,113,112,101,126
83635,112,109,107,123
83835,109,113,0,55
84035,112,109,107,123
84236,113,113,100,125
84435,112,108,107,123
84638,114,112,104,126
84836,112,108,107,123
85039,113,112,100,125
85241,112,108,107,123
85444,106,113,38,0
85645,109,113,97,121
85847,109,113,94,118
86047,111,108,107,122
86251,113,113,76,123
86452,112,108,107,122
86651,112,113,98,125
86852,110,113,49,121
87053,111,113,98,123
87251,107,113,0,112
87454,111,113,97,123
87656,111,110,97,117
87857,112,108,106,122
88058,112,108,106,122
88260,114,112,102,125
88462,111,108,107,121
88664,111,108,106,122
88863,112,108,107,121
89064,113,112,100,121
89263,112,112,100,124
89464,111,108,106,121
89665,111,108,106,121
89865,113,112,99,124
90066,112,112,98,120
90267,111,108,106,121
90471,111,112,96,118
90673,111,108,106,121
90877,112,111,100,123
91081,111,108,106,121
91283,111,108,106,121
91484,111,112,98,120
91686,111,108,106,120
91887,111,108,106,120
92089,108,112,74,111
92292,111,112,98,120
92484,110,111,98,122
92696,110,108,105,120
92898,110,112,97,118
93102,111,111,99,122
