,time,strain1,strain2,strain3,strain4,raw_strain_strain2,stress_strain2
0,795,126,108,107,172,0.0,0.0
1,996,130,111,74,175,2.2162065711405158e-05,0.0015269663275158155
2,1199,126,112,0,0,2.9549546979978913e-05,0.0020359637869205474
3,1403,128,109,94,171,7.387292222257201e-06,0.0005089844341135211
4,1605,128,108,107,172,0.0,0.0
5,1805,130,111,99,175,2.2162065711405158e-05,0.0015269663275158155
6,2007,128,108,107,172,0.0,0.0
7,2207,130,111,0,169,2.2162065711405158e-05,0.0015269663275158155
8,2408,128,108,107,172,0.0,0.0
9,2610,131,111,99,175,2.2162065711405158e-05,0.0015269663275158155
10,2812,131,111,69,173,2.2162065711405158e-05,0.0015269663275158155
11,3014,130,111,0,167,2.2162065711405158e-05,0.0015269663275158155
12,3216,129,108,107,171,0.0,0.0
13,3417,129,108,107,171,0.0,0.0
14,3619,129,108,107,171,0.0,0.0
15,3821,129,108,107,170,0.0,0.0
16,4022,129,108,107,170,0.0,0.0
17,4225,129,108,107,170,0.0,0.0
18,4426,129,108,107,170,0.0,0.0
19,4626,128,112,0,0,2.9549546979978913e-05,0.0020359637869205474
20,4827,129,108,107,169,0.0,0.0
21,5028,129,108,107,170,0.0,0.0
22,5230,130,108,107,169,0.0,0.0
23,5430,130,112,0,160,2.9549546979978913e-05,0.0020359637869205474
24,5630,130,108,107,169,0.0,0.0
25,5828,130,108,107,169,0.0,0.0
26,6034,131,111,0,166,2.2162065711405158e-05,0.0015269663275158155
27,6234,131,111,0,162,2.2162065711405158e-05,0.0015269663275158155
28,6437,130,108,107,168,0.0,0.0
29,6638,130,108,107,169,0.0,0.0
30,6840,131,111,0,164,2.2162065711405158e-05,0.0015269663275158155
31,7046,132,111,89,170,2.2162065711405158e-05,0.0015269663275158155
32,7246,130,108,107,168,0.0,0.0
33,7449,131,111,0,162,2.2162065711405158e-05,0.0015269663275158155
34,7652,130,108,107,168,0.0,0.0
35,7854,131,111,0,163,2.2162065711405158e-05,0.0015269663275158155
36,8055,130,108,107,168,0.0,0.0
37,8258,129,112,0,148,2.9549546979978913e-05,0.0020359637869205474
38,8458,132,111,15,166,2.2162065711405158e-05,0.0015269663275158155
39,8660,130,112,0,156,2.9549546979978913e-05,0.0020359637869205474
40,8863,130,108,107,167,0.0,0.0
41,9064,128,112,0,0,2.9549546979978913e-05,0.0020359637869205474
42,9267,130,108,107,166,0.0,0.0
43,9463,128,112,0,0,2.9549546979978913e-05,0.0020359637869205474
44,9669,130,108,107,166,0.0,0.0
45,9867,130,108,107,166,0.0,0.0
46,10067,130,108,107,166,0.0,0.0
47,10269,130,112,0,157,2.9549546979978913e-05,0.0020359637869205474
48,10465,129,112,0,0,2.9549546979978913e-05,0.0020359637869205474
49,10670,132,111,97,168,2.2162065711405158e-05,0.0015269663275158155
50,10865,130,108,107,165,0.0,0.0
51,11070,129,112,0,0,2.9549546979978913e-05,0.0020359637869205474
52,11272,130,108,107,165,0.0,0.0
53,11474,130,108,107,165,0.0,0.0
54,11676,132,111,27,165,2.2162065711405158e-05,0.0015269663275158155
55,11876,131,112,0,157,2.9549546979978913e-05,0.0020359637869205474
56,12079,131,111,0,158,2.2162065711405158e-05,0.0015269663275158155
57,12282,131,111,0,159,2.2162065711405158e-05,0.0015269663275158155
58,12481,132,111,89,166,2.2162065711405158e-05,0.0015269663275158155
59,12681,128,112,0,0,2.9549546979978913e-05,0.0020359637869205474
60,12882,132,111,90,166,2.2162065711405158e-05,0.0015269663275158155
61,13086,130,108,107,164,0.0,0.0
62,13288,132,111,99,167,2.2162065711405158e-05,0.0015269663275158155
63,13489,130,108,107,164,0.0,0.0
64,13691,130,111,6,160,2.2162065711405158e-05,0.0015269663275158155
65,13895,129,108,107,163,0.0,0.0
66,14095,132,111,100,166,2.2162065711405158e-05,0.0015269663275158155
67,14295,132,111,78,165,2.2162065711405158e-05,0.0015269663275158155
68,14498,129,108,107,163,0.0,0.0
69,14699,128,112,0,0,2.9549546979978913e-05,0.0020359637869205474
70,14901,129,108,107,162,0.0,0.0
71,15101,131,111,0,160,2.2162065711405158e-05,0.0015269663275158155
72,15307,129,108,107,162,0.0,0.0
73,15508,129,108,107,162,0.0,0.0
74,15713,131,111,98,165,2.2162065711405158e-05,0.0015269663275158155
75,15912,131,111,69,163,2.2162065711405158e-05,0.0015269663275158155
76,16116,129,108,107,162,0.0,0.0
77,16315,127,112,0,0,2.9549546979978913e-05,0.0020359637869205474
78,16516,130,112,0,155,2.9549546979978913e-05,0.0020359637869205474
79,16717,129,108,107,161,0.0,0.0
80,16917,129,108,107,162,0.0,0.0
81,17117,129,108,107,162,0.0,0.0
82,17320,132,111,99,164,2.2162065711405158e-05,0.0015269663275158155
83,17523,131,111,16,160,2.2162065711405158e-05,0.0015269663275158155
84,17721,129,108,107,161,0.0,0.0
85,17924,129,108,107,161,0.0,0.0
86,18124,128,112,0,0,2.9549546979978913e-05,0.0020359637869205474
87,18324,130,112,0,156,2.9549546979978913e-05,0.0020359637869205474
88,18526,128,112,0,20,2.9549546979978913e-05,0.0020359637869205474
89,18727,129,108,107,160,0.0,0.0
90,18928,129,108,107,160,0.0,0.0
91,19130,131,111,100,163,2.2162065711405158e-05,0.0015269663275158155
92,19331,129,108,107,160,0.0,0.0
93,19533,129,108,107,160,0.0,0.0
94,19735,129,108,108,160,0.0,0.0
95,19937,130,111,24,159,2.2162065711405158e-05,0.0015269663275158155
96,20140,129,108,107,160,0.0,0.0
97,20342,130,111,0,157,2.2162065711405158e-05,0.0015269663275158155
98,20541,127,112,0,0,2.9549546979978913e-05,0.0020359637869205474
99,20745,131,111,99,162,2.2162065711405158e-05,0.0015269663275158155
100,20946,130,112,1,156,2.9549546979978913e-05,0.0020359637869205474
101,21149,128,108,108,159,0.0,0.0
102,21350,128,108,108,159,0.0,0.0
103,21552,128,108,108,159,0.0,0.0
104,21754,128,108,108,159,0.0,0.0
105,21956,127,112,0,0,2.9549546979978913e-05,0.0020359637869205474
106,22156,128,108,108,158,0.0,0.0
107,22359,129,112,0,154,2.9549546979978913e-05,0.0020359637869205474
108,22561,128,108,107,158,0.0,0.0
109,22763,128,112,0,148,2.9549546979978913e-05,0.0020359637869205474
110,22966,128,108,108,158,0.0,0.0
111,23165,130,112,54,158,2.9549546979978913e-05,0.0020359637869205474
112,23366,127,108,108,158,0.0,0.0
113,23568,128,109,53,154,7.387292222257201e-06,0.0005089844341135211
114,23769,127,108,108,157,0.0,0.0
115,23971,130,111,94,159,2.2162065711405158e-05,0.0015269663275158155
116,24172,127,108,108,157,0.0,0.0
117,24373,127,108,108,157,0.0,0.0
118,24576,127,108,108,157,0.0,0.0
119,24778,127,108,108,157,0.0,0.0
120,24978,127,108,108,157,0.0,0.0
121,25180,128,112,0,151,2.9549546979978913e-05,0.0020359637869205474
122,25381,125,112,0,0,2.9549546979978913e-05,0.0020359637869205474
123,25583,130,111,100,159,2.2162065711405158e-05,0.0015269663275158155
124,25783,129,112,44,156,2.9549546979978913e-05,0.0020359637869205474
125,25986,127,108,108,156,0.0,0.0
126,26188,126,112,0,0,2.9549546979978913e-05,0.0020359637869205474
127,26390,127,112,0,148,2.9549546979978913e-05,0.0020359637869205474
128,26590,128,109,107,155,7.387292222257201e-06,0.0005089844341135211
129,26790,127,108,108,155,0.0,0.0
130,26991,129,111,100,158,2.2162065711405158e-05,0.0015269663275158155
131,27197,129,111,99,157,2.2162065711405158e-05,0.0015269663275158155
132,27398,126,108,108,155,0.0,0.0
133,27599,127,112,0,145,2.9549546979978913e-05,0.0020359637869205474
134,27801,126,108,108,154,0.0,0.0
135,28004,127,112,0,148,2.9549546979978913e-05,0.0020359637869205474
136,28207,126,108,108,154,0.0,0.0
137,28409,126,112,0,0,2.9549546979978913e-05,0.0020359637869205474
138,28609,128,112,66,155,2.9549546979978913e-05,0.0020359637869205474
139,28810,129,111,100,157,2.2162065711405158e-05,0.0015269663275158155
140,29010,126,108,108,154,0.0,0.0
141,29212,126,108,108,154,0.0,0.0
142,29411,126,108,108,154,0.0,0.0
143,29614,126,108,108,153,0.0,0.0
144,29815,126,108,108,153,0.0,0.0
145,30012,126,108,108,153,0.0,0.0
146,30217,127,112,0,146,2.9549546979978913e-05,0.0020359637869205474
147,30417,127,112,0,147,2.9549546979978913e-05,0.0020359637869205474
148,30620,126,109,108,153,7.387292222257201e-06,0.0005089844341135211
149,30821,125,112,0,129,2.9549546979978913e-05,0.0020359637869205474
150,31022,126,108,108,153,0.0,0.0
151,31224,125,112,0,0,2.9549546979978913e-05,0.0020359637869205474
152,31424,126,108,108,152,0.0,0.0
153,31626,128,112,85,154,2.9549546979978913e-05,0.0020359637869205474
154,31827,125,108,108,152,0.0,0.0
155,32028,124,112,0,0,2.9549546979978913e-05,0.0020359637869205474
156,32227,125,108,108,152,0.0,0.0
157,32430,127,112,3,149,2.9549546979978913e-05,0.0020359637869205474
158,32630,125,109,108,152,7.387292222257201e-06,0.0005089844341135211
159,32832,126,112,0,147,2.9549546979978913e-05,0.0020359637869205474
160,33033,126,110,100,154,1.4774647458831252e-05,0.0010179732099134732
161,33234,127,112,87,153,2.9549546979978913e-05,0.0020359637869205474
162,33437,125,109,108,151,7.387292222257201e-06,0.0005089844341135211
163,33638,127,112,99,153,2.9549546979978913e-05,0.0020359637869205474
164,33839,125,109,56,148,7.387292222257201e-06,0.0005089844341135211
165,34039,125,110,85,149,1.4774647458831252e-05,0.0010179732099134732
166,34241,125,112,7,143,2.9549546979978913e-05,0.0020359637869205474
167,34443,125,109,108,150,7.387292222257201e-06,0.0005089844341135211
168,34642,124,109,108,150,7.387292222257201e-06,0.0005089844341135211
169,34846,127,112,18,149,2.9549546979978913e-05,0.0020359637869205474
