time,ax,ay,az,aT
0.004,-0.5076,-0.2454,-0.249,0.616
0.006,-0.1173,0.2752,1.3013,1.335
0.008,0.0114,-0.6306,0.346,0.719
0.019,-0.4323,-0.7868,-0.3854,0.977
0.034,-0.6198,-0.4897,0.03,0.79
0.035,-0.5081,0.1925,-0.2141,0.584
0.053,0.5671,1.0772,-0.0153,1.217
0.071,-0.1315,-0.307,-0.0057,0.334
0.071,-0.1287,-0.4138,0.7425,0.86
0.072,-0.1306,-0.1256,0.1763,0.253
0.087,0.0803,0.6522,-0.4665,0.806
0.107,0.6027,0.7466,0.0124,0.96
0.109,0.3332,0.3649,-0.1815,0.526
0.121,0.3141,-0.4894,0.3608,0.684
0.123,-0.1952,-0.8518,0.1476,0.886
0.137,-0.5187,0.5486,0.0913,0.76
0.154,0.061,0.8596,0.4182,0.958
0.157,-0.4509,-0.1601,-0.4413,0.651
0.171,0.1772,-1.0941,1.1246,1.579
0.173,-0.5935,-0.7919,-1.4983,1.796
0.189,0.1053,0.7293,0.2375,0.774
0.204,0.3741,0.8752,-0.3814,1.025
0.207,0.5973,0.6869,0.5596,1.068
0.221,0.2272,-0.273,0.6015,0.699
0.222,0.0935,0.1907,-0.6112,0.647
0.238,0.2065,0.7678,0.3512,0.869
0.256,0.4977,0.8552,0.5907,1.152
0.257,0.6591,0.1742,0.4231,0.802
0.271,-0.3212,-0.6711,-0.306,0.805
0.273,-0.2826,-0.1678,-0.5874,0.673
0.289,-0.1079,0.1039,1.1233,1.133
0.309,-0.202,0.5038,-0.5754,0.791
0.312,-0.1877,-0.1201,-0.8052,0.835
0.314,-0.2173,-0.6856,-0.5203,0.888
0.322,0.5197,-0.5512,0.429,0.871
0.332,-0.429,0.4991,0.8169,1.049
0.341,0.2238,1.0116,0.4697,1.138
0.352,0.5579,0.4373,0.0329,0.71
0.361,0.0248,-0.6753,-0.3837,0.777
0.387,0.7533,-0.4721,-0.1287,0.898
0.389,0.122,0.4418,0.7295,0.862
0.392,0.5514,0.9236,-0.3503,1.131
0.401,0.3338,0.5943,-0.3048,0.747
0.412,0.1351,-0.4482,-0.6448,0.797
0.423,0.0809,-0.4723,-0.0367,0.481
0.432,0.2607,0.4175,-0.8831,1.011
0.442,0.4539,0.8903,0.1177,1.006
0.452,0.314,-0.5252,-0.1768,0.637
0.461,-0.6569,-0.7974,-0.1002,1.038
0.475,-0.6264,-0.5092,-0.4618,0.93
0.481,-0.0041,-0.3082,-0.4965,0.584
0.493,0.5986,0.3085,1.0262,1.227
0.5,-0.8009,-0.6252,-1.3477,1.688
0.513,-0.9996,-1.1165,-1.1813,1.908
0.524,-0.4123,-0.6544,-0.2417,0.81
0.533,-0.1801,-0.3991,1.196,1.274
0.557,0.8001,0.5936,0.1389,1.006
0.561,-0.5988,-0.7947,-0.6944,1.213
0.563,-0.8762,-1.0121,-0.5088,1.432
0.59,-0.3049,-0.4826,-0.2478,0.622
0.593,0.5985,0.112,0.5722,0.836
0.596,0.3083,0.1902,1.0355,1.097
0.604,0.2804,-0.0554,0.1041,0.304
0.623,-0.2702,-0.4749,-0.6369,0.839
0.626,0.189,0.1487,0.4214,0.485
0.632,0.4877,0.6874,0.893,1.228
0.646,0.4914,0.7825,-0.2311,0.952
0.652,0.1199,-0.314,0.0621,0.342
0.66,-0.0671,-0.8209,-0.3138,0.881
0.688,-0.676,-0.4657,-0.4311,0.927
0.689,-0.1745,0.2502,-0.3485,0.463
0.692,0.0427,0.0436,0.268,0.275
0.701,0.2053,-0.4369,-0.0481,0.485
0.725,-0.0762,-0.594,-0.4922,0.775
0.727,-0.8565,-0.7813,0.1423,1.168
0.732,0.0129,0.5912,-0.0887,0.598
0.742,-0.0064,0.6287,1.3119,1.455
0.752,1.1179,0.368,-0.2335,1.2
0.777,0.152,-0.6652,-0.4993,0.846
0.782,-0.6988,-1.2283,-0.6741,1.566
0.785,-0.365,0.5872,-0.4574,0.829
0.807,0.6997,1.0165,-0.6034,1.374
0.808,0.8678,0.3235,1.5262,1.785
0.812,-0.3046,0.0382,-2.0149,2.038
0.832,-1.07,-0.4014,-0.1032,1.147
0.833,-0.1338,0.6821,-0.1151,0.705
0.846,0.2026,0.9191,0.0118,0.941
0.855,-0.4029,-0.4885,-0.1641,0.654
0.861,-0.5377,-0.5942,-0.0994,0.808
0.873,-0.9131,-0.3125,-0.4561,1.067
0.881,0.0575,0.4172,0.103,0.434
0.894,0.8535,0.5997,0.6765,1.243
0.917,0.3453,-0.2136,0.1534,0.434
0.922,-0.031,-0.4356,0.3749,0.576
0.924,-0.164,-0.1146,-0.2141,0.293
0.932,-0.1194,0.8363,0.0516,0.846
0.942,0.3911,1.0429,0.2444,1.14
0.952,0.9841,0.6096,-0.0633,1.159
0.961,0.0283,-0.4443,0.8728,0.98
0.976,0.2176,-0.0256,-1.6699,1.684
1,-0.312,0.6294,-0.2872,0.759
1,-0.2292,0.9949,-0.286,1.06
1.001,0.6495,0.452,-0.4499,0.91
1.012,0.1705,-0.027,0.807,0.825
1.021,0.1831,0.402,-1.5166,1.58
1.031,-0.4553,0.2817,-0.6773,0.863
1.041,0.035,0.5728,-0.718,0.919
1.053,0.1613,-0.5409,-0.0547,0.567
1.061,-0.5283,-0.8056,-0.9417,1.347
1.075,-0.0923,-0.0408,-1.2961,1.3
1.081,-0.2791,0.4859,-0.6281,0.842
1.106,0.188,0.8034,-0.0163,0.825
1.11,0.3941,-0.533,-0.2557,0.71
1.114,-0.1563,-0.6437,-0.8362,1.067
1.125,-0.1382,-0.4162,-0.0797,0.446
1.132,0.5291,0.9093,0.9953,1.448
1.143,0.3593,0.9742,-0.2293,1.063
1.152,0.5938,-0.193,0.2986,0.692
1.162,1.0229,-0.4967,0.1466,1.147
1.18,0.0635,-0.3367,0.4074,0.532
1.183,-0.2966,0.6493,-1.5595,1.715
1.211,-0.281,0.4248,-0.4067,0.652
1.214,-0.056,0.562,-0.579,0.809
1.215,-0.4293,-0.4419,-1.168,1.32
1.224,-0.1658,-1.0276,1.0886,1.506
1.233,0.0209,0.2977,-1.3679,1.4
1.241,-0.0667,0.2422,0.9233,0.957
1.252,0.3423,0.1555,-1.1691,1.228
1.262,0.2009,-0.7119,0.6301,0.972
1.28,-0.1205,-0.24,-0.0762,0.279
1.284,0.162,0.5812,-0.7442,0.958
1.306,0.7159,0.6793,-0.0906,0.991
1.308,0.3665,-0.3876,-0.2558,0.592
1.312,-0.2106,-0.748,-0.8903,1.182
1.323,-0.5086,-0.2406,-0.5611,0.795
1.331,0.601,0.4122,0.4085,0.835
1.344,0.1775,0.9761,-0.2009,1.012
1.352,0.2829,-0.1986,0.1415,0.373
1.362,-0.353,-0.6107,-0.6139,0.935
1.389,0.2291,-0.475,0.1643,0.552
1.392,0.7974,0.7993,1.8186,2.141
1.413,0.0595,0.953,0.1055,0.961
1.414,-0.1653,-0.3594,-0.396,0.56
1.415,-1.1868,-0.9417,-0.5887,1.625
1.423,-0.363,-0.8151,-0.5133,1.029
1.432,0.3211,-0.3345,2.0533,2.105
1.442,0.3196,-0.3301,2.0532,2.104
1.452,0.3856,-0.0526,0.8309,0.918
1.462,-0.1391,-0.8294,-0.7409,1.121
1.482,-0.6252,-1.0141,0.7363,1.4
1.485,0.3056,0.3956,0.0167,0.5
1.513,-0.0073,-0.0403,0.286,0.289
1.516,-0.0305,-0.4952,0.0238,0.497
1.517,0.0274,-0.5078,0.1854,0.541
1.521,-0.3455,0.1611,0.0333,0.383
1.532,0.1451,0.7894,0.1207,0.812
1.541,0.592,0.396,0.6258,0.948
1.551,0.2523,0.1525,0.536,0.612
1.561,-1.0468,-0.466,-1.7708,2.109
1.579,-0.9402,-0.6954,-1.1327,1.628
1.582,-0.123,0.4547,-0.0014,0.471
1.606,0.7983,0.2209,0.6379,1.045
1.608,-0.3935,-0.5376,1.155,1.333
1.612,-0.3542,-0.6671,-0.6467,0.994
1.621,-0.7975,-0.3926,-0.2133,0.914
1.632,-0.4568,0.1503,0.6786,0.832
1.641,0.2489,0.073,1.689,1.709
1.652,0.1226,0.0504,-0.8465,0.857
1.661,-0.8622,-1.0761,-0.291,1.409
1.678,-0.4234,0.2813,-0.7506,0.907
1.681,-0.1231,0.6449,0.0886,0.662
1.708,0.4425,0.8278,0.9231,1.316
1.71,0.0294,0.0721,-0.0921,0.121
1.712,-0.9022,-1.0672,0.0851,1.4
1.721,-0.7031,-0.6602,-0.2524,0.997
